,Winner,RedFighter,BlueFighter,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,HeightDif,ReachDif,AgeDif,Finish,HeightAdvantage,ReachAdvantage,AgeAdvantage
1186,Red,Lauren Murphy,Miesha Tate,167.64,165.1,135,165.1,170.18,125,38,35,2.54,-5.08,-3,U-DEC,0.0,1.0,1.0
1187,Red,Punahele Soriano,Dalcha Lungiambula,172.72,193.04,185,180.34,182.88,170,29,34,-7.62,10.16,5,KO/TKO,1.0,0.0,0.0
1188,Red,Ricky Simon,Jack Shore,172.72,180.34,145,167.64,175.26,135,29,27,5.08,5.08,-2,SUB,0.0,0.0,1.0
1189,Red,Bill Algeo,Herbert Burns,175.26,185.42,145,182.88,185.42,145,33,34,-7.62,0.0,1,KO/TKO,1.0,,0.0
1190,Red,Dustin Jacoby,Da Woon Jung,193.04,198.12,205,190.5,193.04,205,34,28,2.54,5.08,-6,KO/TKO,0.0,0.0,1.0
1194,Red,Caio Borralho,Armen Petrosyan,190.5,180.34,185,185.42,190.5,185,29,31,5.08,-10.16,2,U-DEC,0.0,1.0,0.0
1197,Red,Aiemann Zahabi,Ricky Turcios,175.26,180.34,135,172.72,172.72,135,34,29,2.54,7.62,-5,U-DEC,0.0,0.0,1.0
1199,Red,Cody Brundage,Tresean Gore,182.88,190.5,185,182.88,182.88,185,28,28,0.0,7.62,0,KO/TKO,,0.0,
1200,Red,Antonina Shevchenko,Cortney Casey,170.18,170.18,125,172.72,170.18,125,37,35,-2.54,0.0,-2,S-DEC,1.0,,1.0
1201,Red,David Onama,Garrett Armfield,167.64,177.8,135,180.34,187.96,145,28,25,-12.7,-10.16,-3,SUB,1.0,1.0,1.0
1202,Red,Kennedy Nzechukwu,Karl Roberson,185.42,187.96,205,195.58,210.82,205,30,31,-10.16,-22.86,1,KO/TKO,1.0,1.0,0.0
1204,Red,Israel Adesanya,Jared Cannonier,180.34,195.58,185,193.04,203.2,185,32,38,-12.7,-7.62,6,U-DEC,1.0,1.0,0.0
1205,Red,Alexander Volkanovski,Max Holloway,180.34,175.26,145,167.64,180.34,145,33,30,12.7,-5.08,-3,U-DEC,0.0,1.0,1.0
1209,Red,Jim Miller,Donald Cerrone,185.42,185.42,155,172.72,180.34,155,38,39,12.7,5.08,1,SUB,0.0,0.0,0.0
1210,Red,Ian Garry,Gabe Green,177.8,185.42,155,190.5,187.96,170,24,29,-12.7,-2.54,5,U-DEC,1.0,1.0,0.0
1217,Red,Josh Parisian,Alan Baudot,190.5,200.66,243,193.04,200.66,265,32,34,-2.54,0.0,2,KO/TKO,1.0,,0.0
1218,Red,Thiago Moises,Christos Giagos,177.8,180.34,155,175.26,177.8,155,27,32,2.54,2.54,5,SUB,0.0,0.0,0.0
1220,Red,Chris Curtis,Rodolfo Vieira,182.88,185.42,185,177.8,190.5,185,34,32,5.08,-5.08,-2,U-DEC,0.0,1.0,1.0
1221,Red,Carlos Ulberg,Tafon Nchukwi,182.88,195.58,185,193.04,195.58,205,31,27,-10.16,0.0,-4,KO/TKO,1.0,,1.0
1222,Red,Shayilan Nuerdanbieke,TJ Brown,175.26,182.88,145,172.72,175.26,145,28,32,2.54,7.62,4,U-DEC,0.0,0.0,0.0
1226,Red,Vanessa Demopoulos,Jinh Yu Frey,160.02,165.1,115,157.48,149.86,115,33,37,2.54,15.24,4,S-DEC,0.0,0.0,0.0
1229,Red,Joaquin Buckley,Albert Duraev,180.34,190.5,185,177.8,193.04,170,28,33,2.54,-2.54,5,KO/TKO,0.0,1.0,0.0
1230,Red,Damir Ismagulov,Guram Kutateladze,180.34,182.88,155,177.8,187.96,155,31,30,2.54,-5.08,-1,S-DEC,0.0,1.0,1.0
1232,Red,Adrian Yanez,Tony Kelley,175.26,177.8,135,170.18,177.8,135,28,35,5.08,0.0,7,KO/TKO,0.0,,0.0
1235,Red,Ricardo Ramos,Danny Chavez,172.72,170.18,145,175.26,182.88,145,26,35,-2.54,-12.7,9,KO/TKO,1.0,1.0,0.0
1236,Red,Maria Oliveira,Gloria de Paula,165.1,170.18,115,167.64,175.26,115,25,27,-2.54,-5.08,2,S-DEC,1.0,1.0,0.0
1238,Red,Phil Hawes,Deron Winn,167.64,177.8,185,182.88,195.58,185,33,33,-15.24,-17.78,0,KO/TKO,1.0,1.0,
1239,Red,Roman Dolidze,Kyle Daukaus,190.5,193.04,185,187.96,193.04,185,33,29,2.54,0.0,-4,KO/TKO,0.0,,1.0
1241,Red,Valentina Shevchenko,Taila Santos,167.64,172.72,125,165.1,167.64,125,34,28,2.54,5.08,-6,S-DEC,0.0,0.0,1.0
1242,Red,Zhang Weili,Joanna Jedrzejczyk,167.64,165.1,115,162.56,160.02,115,32,34,5.08,5.08,2,KO/TKO,0.0,0.0,0.0
1244,Red,Jack Della Maddalena,Ramazan Emeev,177.8,193.04,170,180.34,185.42,170,25,35,-2.54,7.62,10,KO/TKO,1.0,0.0,0.0
1246,Red,Maheshate,Steve Garcia,182.88,190.5,145,182.88,180.34,155,22,30,0.0,10.16,8,KO/TKO,,0.0,0.0
1247,Red,Brendan Allen,Jacob Malkoun,175.26,185.42,185,187.96,190.5,185,26,26,-12.7,-5.08,0,U-DEC,1.0,1.0,
1248,Red,Kyung Ho Kang,Batgerel Danaa,170.18,177.8,135,175.26,185.42,135,34,32,-5.08,-7.62,-2,U-DEC,1.0,1.0,1.0
1251,Red,Alexander Volkov,Jairzinho Rozenstruik,187.96,198.12,242,200.66,203.2,250,33,34,-12.7,-5.08,1,KO/TKO,1.0,1.0,0.0
1254,Red,Karine Silva,Poliana Botelho,172.72,170.18,125,165.1,170.18,125,28,33,7.62,0.0,5,SUB,0.0,,0.0
1255,Red,Ode Osbourne,Zarrukh Adashev,165.1,165.1,125,170.18,185.42,125,30,29,-5.08,-20.32,-1,KO/TKO,1.0,1.0,1.0
1256,Red,Alonzo Menifield,Askar Mozharov,190.5,187.96,205,182.88,193.04,205,34,27,7.62,-5.08,-7,KO/TKO,0.0,1.0,1.0
1258,Red,Joe Solecki,Alex Da Silva,172.72,185.42,155,175.26,177.8,155,28,26,-2.54,7.62,-2,M-DEC,1.0,0.0,1.0
1259,Red,Damon Jackson,Dan Argueta,170.18,172.72,135,180.34,180.34,145,33,28,-10.16,-7.62,-5,U-DEC,1.0,1.0,1.0
1262,Red,Jeff Molina,Zhalgas Zhumagulov,162.56,167.64,125,167.64,175.26,125,24,33,-5.08,-7.62,9,S-DEC,1.0,1.0,0.0
1263,Red,Rinat Fakhretdinov,Andreas Michailidis,182.88,193.04,170,182.88,187.96,170,30,33,0.0,5.08,3,U-DEC,,0.0,0.0
1264,Red,Erin Blanchfield,JJ Aldrich,165.1,170.18,125,162.56,167.64,125,23,29,2.54,2.54,6,SUB,0.0,0.0,0.0
1267,Red,Chidi Njokuani,Dusko Todorovic,185.42,187.96,185,190.5,203.2,170,33,28,-5.08,-15.24,-5,KO/TKO,1.0,1.0,1.0
1270,Red,Joseph Holmes,Alen Amedovski,177.8,187.96,185,193.04,203.2,185,26,34,-15.24,-15.24,8,SUB,1.0,1.0,0.0
1271,Red,Jailton Almeida,Parker Porter,182.88,190.5,265,190.5,200.66,205,30,37,-7.62,-10.16,7,SUB,1.0,1.0,0.0
1273,Red,Jonathan Martinez,Vince Morales,175.26,177.8,135,172.72,177.8,135,28,31,2.54,0.0,3,U-DEC,0.0,,0.0
